epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,512.371,2.09729,2.98405,3.03476,0.41752,0.30656,0.25868,0.10047,2.01963,2.77831,2.98803,0.0670179,0.000333152,0.000333152
2,989.577,1.84987,2.46812,2.91281,0.42812,0.35973,0.32221,0.13846,1.85137,2.3624,2.843,0.0340113,0.000659888,0.000659888
3,1439.01,1.77036,2.30913,2.85539,0.47536,0.4345,0.40032,0.19385,1.7176,2.15391,2.76349,0.000998109,0.000980023,0.000980023
4,1911.17,1.71439,2.21819,2.806,0.48383,0.43585,0.40853,0.19839,1.6877,2.1266,2.71414,0.0009703,0.0009703,0.0009703
5,2389.06,1.68613,2.15656,2.79352,0.51879,0.45341,0.44235,0.22475,1.62874,2.01242,2.70924,0.0009604,0.0009604,0.0009604
6,2858.12,1.64733,2.09378,2.76067,0.52325,0.46743,0.4587,0.23327,1.62193,1.9791,2.67354,0.0009505,0.0009505,0.0009505
7,3329.59,1.63943,2.06777,2.75951,0.5362,0.481,0.4741,0.24388,1.57973,1.98737,2.65509,0.0009406,0.0009406,0.0009406
8,3827.55,1.61957,2.02404,2.74637,0.54595,0.4888,0.49049,0.25535,1.55911,1.88594,2.63747,0.0009307,0.0009307,0.0009307
9,4332.67,1.60551,1.99127,2.74061,0.57193,0.49967,0.50735,0.27162,1.55764,1.82659,2.63594,0.0009208,0.0009208,0.0009208
10,4847.05,1.59144,1.97832,2.72386,0.57098,0.50931,0.51204,0.27301,1.54423,1.84647,2.61147,0.0009109,0.0009109,0.0009109
11,5359.38,1.58212,1.94575,2.71526,0.58153,0.49882,0.5164,0.28044,1.523,1.79562,2.61852,0.000901,0.000901,0.000901
12,5880.06,1.57482,1.9441,2.71523,0.58067,0.5206,0.525,0.2906,1.50048,1.7747,2.60647,0.0008911,0.0008911,0.0008911
13,6355.05,1.56477,1.91332,2.70424,0.59573,0.51808,0.53431,0.29439,1.49405,1.74288,2.60176,0.0008812,0.0008812,0.0008812
14,6794.52,1.55712,1.90677,2.71088,0.60118,0.52448,0.54568,0.30361,1.47859,1.73059,2.58688,0.0008713,0.0008713,0.0008713
15,7233.89,1.55469,1.89029,2.69861,0.60457,0.52867,0.54835,0.30645,1.47386,1.69966,2.58287,0.0008614,0.0008614,0.0008614
16,7673.52,1.54417,1.88583,2.70095,0.60235,0.53418,0.55537,0.31227,1.46877,1.67194,2.58004,0.0008515,0.0008515,0.0008515
17,8114.74,1.53306,1.86175,2.68627,0.60324,0.53317,0.55905,0.31709,1.44771,1.6794,2.55959,0.0008416,0.0008416,0.0008416
18,8554.49,1.5257,1.85551,2.68927,0.61322,0.54149,0.56653,0.32313,1.44091,1.65806,2.56201,0.0008317,0.0008317,0.0008317
19,8995.95,1.5252,1.84961,2.68045,0.61506,0.54243,0.57012,0.32857,1.43428,1.6384,2.55704,0.0008218,0.0008218,0.0008218
20,9436.36,1.51425,1.83703,2.67066,0.61392,0.54078,0.5724,0.32988,1.42879,1.62087,2.55269,0.0008119,0.0008119,0.0008119
21,9876.36,1.51122,1.82082,2.65927,0.6255,0.53993,0.57744,0.33373,1.42191,1.61728,2.55111,0.000802,0.000802,0.000802
22,10316.1,1.50722,1.81284,2.66551,0.63823,0.54091,0.58294,0.33826,1.41672,1.60554,2.54229,0.0007921,0.0007921,0.0007921
23,10755.3,1.50624,1.79703,2.66207,0.63037,0.5474,0.5843,0.34025,1.40789,1.59757,2.53642,0.0007822,0.0007822,0.0007822
24,11196.1,1.50496,1.80187,2.66051,0.63868,0.54552,0.58733,0.34276,1.40197,1.59508,2.53095,0.0007723,0.0007723,0.0007723
25,11636.3,1.49073,1.78096,2.65055,0.63855,0.54746,0.58984,0.34563,1.39298,1.57677,2.52963,0.0007624,0.0007624,0.0007624
26,12075.4,1.49015,1.77041,2.64987,0.63372,0.54737,0.59223,0.34917,1.38609,1.56454,2.5231,0.0007525,0.0007525,0.0007525
27,12514.8,1.486,1.77377,2.64137,0.63761,0.54934,0.59355,0.35096,1.38527,1.56177,2.51952,0.0007426,0.0007426,0.0007426
28,12954.6,1.47915,1.7698,2.6484,0.63639,0.55406,0.59511,0.35232,1.38339,1.55901,2.51699,0.0007327,0.0007327,0.0007327
29,13394.6,1.47659,1.76171,2.63583,0.63597,0.56019,0.59745,0.35424,1.37939,1.5551,2.51477,0.0007228,0.0007228,0.0007228
30,13833.8,1.47828,1.75167,2.63948,0.63889,0.55938,0.59953,0.35578,1.37691,1.54865,2.51269,0.0007129,0.0007129,0.0007129
31,14273.3,1.47152,1.73891,2.62158,0.63789,0.56082,0.60083,0.35732,1.37478,1.54234,2.51053,0.000703,0.000703,0.000703
32,14712.5,1.46575,1.73031,2.62152,0.63512,0.5607,0.60245,0.35891,1.37303,1.5409,2.50805,0.0006931,0.0006931,0.0006931
33,15152.4,1.46578,1.72702,2.62304,0.63938,0.56013,0.60331,0.35949,1.37101,1.53891,2.50498,0.0006832,0.0006832,0.0006832
34,15591.7,1.45719,1.71307,2.60577,0.64011,0.55999,0.60445,0.36076,1.36963,1.5342,2.50214,0.0006733,0.0006733,0.0006733
35,16029.6,1.45845,1.71404,2.6156,0.64187,0.55904,0.60511,0.36133,1.36769,1.52893,2.49834,0.0006634,0.0006634,0.0006634
36,16468.5,1.45427,1.71525,2.61083,0.63827,0.56545,0.6061,0.3621,1.36602,1.5249,2.49644,0.0006535,0.0006535,0.0006535
37,16908.4,1.45331,1.70459,2.60914,0.63991,0.56477,0.60745,0.36319,1.36494,1.52117,2.4944,0.0006436,0.0006436,0.0006436
38,17346.9,1.45109,1.69524,2.60578,0.64142,0.56635,0.60881,0.36456,1.36397,1.51809,2.49305,0.0006337,0.0006337,0.0006337
39,17785,1.44625,1.68365,2.60158,0.63965,0.56924,0.61042,0.3654,1.36257,1.51522,2.49166,0.0006238,0.0006238,0.0006238
40,18223.7,1.44043,1.68558,2.60116,0.63824,0.57203,0.61115,0.36615,1.36149,1.51265,2.49107,0.0006139,0.0006139,0.0006139
41,18663.6,1.4396,1.68019,2.59752,0.64017,0.57167,0.61208,0.36709,1.35965,1.50984,2.48982,0.000604,0.000604,0.000604
42,19101.1,1.43535,1.66857,2.59719,0.64233,0.5718,0.61322,0.36802,1.35835,1.50795,2.4891,0.0005941,0.0005941,0.0005941
43,19537.2,1.43761,1.66578,2.58508,0.64336,0.57211,0.61375,0.36906,1.35723,1.50568,2.48827,0.0005842,0.0005842,0.0005842
44,19972.2,1.42734,1.66366,2.59143,0.64772,0.57106,0.61463,0.3698,1.35605,1.50414,2.48758,0.0005743,0.0005743,0.0005743
45,20407.9,1.42708,1.65153,2.59101,0.64916,0.57159,0.61553,0.37088,1.35456,1.50115,2.48597,0.0005644,0.0005644,0.0005644
46,20843.4,1.42899,1.65056,2.58266,0.64984,0.57202,0.61655,0.37163,1.35348,1.49849,2.48472,0.0005545,0.0005545,0.0005545
47,21278.1,1.42303,1.64288,2.57502,0.64948,0.57145,0.61751,0.37239,1.35245,1.49614,2.48326,0.0005446,0.0005446,0.0005446
48,21714,1.42289,1.63786,2.58186,0.65088,0.57183,0.61865,0.37303,1.35099,1.49407,2.48153,0.0005347,0.0005347,0.0005347
49,22148.8,1.42216,1.64246,2.57302,0.65225,0.57417,0.61978,0.37376,1.35051,1.4912,2.48067,0.0005248,0.0005248,0.0005248
50,22584.3,1.41691,1.63276,2.57482,0.65067,0.57565,0.61998,0.37487,1.34902,1.4891,2.47941,0.0005149,0.0005149,0.0005149
51,23018.9,1.41172,1.62482,2.56047,0.65356,0.57364,0.62058,0.3756,1.34827,1.48734,2.4783,0.000505,0.000505,0.000505
52,23453.2,1.40341,1.61185,2.56849,0.65466,0.57304,0.62129,0.37619,1.34715,1.48479,2.47787,0.0004951,0.0004951,0.0004951
53,23888.7,1.40411,1.60856,2.56082,0.65504,0.57455,0.62213,0.37662,1.3465,1.48172,2.47692,0.0004852,0.0004852,0.0004852
54,24323.6,1.40923,1.60725,2.5671,0.65665,0.57503,0.623,0.37746,1.34532,1.47952,2.47569,0.0004753,0.0004753,0.0004753
55,24758.2,1.40515,1.60554,2.56573,0.65679,0.57464,0.62323,0.37779,1.34446,1.47694,2.47443,0.0004654,0.0004654,0.0004654
56,25192.5,1.40242,1.60038,2.56569,0.65696,0.57542,0.62425,0.37877,1.34376,1.47471,2.4731,0.0004555,0.0004555,0.0004555
57,25626.5,1.3981,1.59522,2.548,0.65922,0.57579,0.62556,0.37973,1.34278,1.47271,2.47192,0.0004456,0.0004456,0.0004456
58,26061.4,1.38909,1.57976,2.54114,0.65765,0.57721,0.62583,0.38064,1.34201,1.46992,2.47047,0.0004357,0.0004357,0.0004357
59,26496.7,1.39347,1.57246,2.55491,0.66004,0.5779,0.62712,0.38146,1.34135,1.46832,2.46951,0.0004258,0.0004258,0.0004258
60,26931.4,1.38941,1.57075,2.54072,0.65916,0.57873,0.62801,0.38202,1.34062,1.46532,2.46814,0.0004159,0.0004159,0.0004159
61,27365.8,1.38279,1.55837,2.54031,0.66116,0.57983,0.62928,0.38302,1.33985,1.46277,2.46672,0.000406,0.000406,0.000406
