epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,507.195,2.16337,4.06018,1.8231,0.24532,0.23417,0.15268,0.05979,2.27044,2.91744,1.73511,0.00333152,0.00333152,0.00333152
2,1000.51,2.11875,2.95792,1.77324,0.20032,0.18533,0.10682,0.03907,2.45816,3.42824,2.00162,0.00653289,0.00653289,0.00653289
3,1483.26,2.20533,2.81457,1.86189,0.19959,0.20325,0.12023,0.04532,2.50726,3.34464,2.01156,0.00960226,0.00960226,0.00960226
4,1965.36,2.20859,2.78256,1.88717,0.24827,0.20428,0.13818,0.05338,2.36821,2.86419,1.923,0.009406,0.009406,0.009406
5,2462.36,2.12574,2.61939,1.82626,0.3376,0.27886,0.22919,0.09416,2.21143,2.54068,1.82274,0.009208,0.009208,0.009208
6,2899.72,2.0622,2.50029,1.77419,0.34546,0.26849,0.23054,0.0988,2.17232,2.44049,1.78909,0.00901,0.00901,0.00901
7,3299.97,2.0352,2.45048,1.75396,0.41704,0.31732,0.28705,0.12401,2.11022,2.26876,1.72376,0.008812,0.008812,0.008812
8,3704.65,2.00054,2.3783,1.72167,0.38389,0.33152,0.27426,0.12001,2.07372,2.25206,1.70806,0.008614,0.008614,0.008614
9,4107.36,1.9766,2.32812,1.70692,0.42615,0.35182,0.31544,0.14102,2.0546,2.20018,1.69723,0.008416,0.008416,0.008416
10,4512.14,1.95733,2.28359,1.69187,0.4399,0.36957,0.33681,0.15089,2.01644,2.13887,1.66505,0.008218,0.008218,0.008218
11,4912.66,1.93476,2.23526,1.67138,0.44731,0.38115,0.34806,0.15735,2.00954,2.12924,1.64424,0.00802,0.00802,0.00802
12,5313.53,1.92368,2.22227,1.65777,0.46745,0.37822,0.35827,0.16517,1.98669,2.07801,1.64322,0.007822,0.007822,0.007822
13,5714.88,1.90855,2.18813,1.64712,0.48239,0.39188,0.37223,0.17354,1.94861,2.02766,1.59656,0.007624,0.007624,0.007624
14,6115.74,1.8999,2.16813,1.63705,0.48865,0.39925,0.38616,0.18262,1.93272,1.99648,1.60193,0.007426,0.007426,0.007426
15,6516.23,1.89041,2.14738,1.62621,0.50284,0.40446,0.39526,0.18682,1.93643,2.0029,1.59457,0.007228,0.007228,0.007228
16,6916.73,1.87301,2.11585,1.61743,0.50481,0.41295,0.40606,0.19304,1.92458,1.96219,1.58406,0.00703,0.00703,0.00703
17,7316.69,1.8657,2.09058,1.60686,0.51509,0.41666,0.4161,0.19896,1.91769,1.95992,1.57122,0.006832,0.006832,0.006832
18,7717.7,1.85534,2.08105,1.60323,0.52166,0.4203,0.42223,0.20359,1.8894,1.93241,1.56133,0.006634,0.006634,0.006634
19,8118.15,1.8564,2.06229,1.59758,0.53185,0.42649,0.43156,0.2093,1.88086,1.90429,1.55074,0.006436,0.006436,0.006436
20,8533.21,1.83723,2.04276,1.58606,0.52547,0.43477,0.4344,0.21098,1.88368,1.89892,1.55304,0.006238,0.006238,0.006238
21,8932.86,1.83371,2.01654,1.5797,0.5307,0.43982,0.44384,0.21826,1.85944,1.87281,1.53656,0.00604,0.00604,0.00604
22,9332.35,1.82194,2.00911,1.57097,0.53702,0.44949,0.44915,0.22115,1.8573,1.86472,1.52943,0.005842,0.005842,0.005842
23,9732.21,1.81711,1.99687,1.56534,0.5459,0.4495,0.45345,0.22305,1.84937,1.84893,1.52536,0.005644,0.005644,0.005644
24,10134.2,1.81394,1.97923,1.56059,0.55227,0.44714,0.45747,0.22653,1.84695,1.84002,1.51857,0.005446,0.005446,0.005446
25,10537,1.79864,1.95366,1.55031,0.54742,0.455,0.45958,0.22797,1.85026,1.83358,1.51966,0.005248,0.005248,0.005248
26,10936.7,1.79193,1.94395,1.5454,0.55146,0.45713,0.46403,0.23115,1.84368,1.83106,1.51652,0.00505,0.00505,0.00505
27,11336.4,1.78626,1.93499,1.5353,0.55483,0.46105,0.46942,0.23471,1.83921,1.81791,1.51111,0.004852,0.004852,0.004852
28,11735.9,1.77388,1.92337,1.53592,0.55847,0.46155,0.47206,0.23701,1.83552,1.81728,1.5056,0.004654,0.004654,0.004654
29,12136,1.76738,1.90812,1.53152,0.56736,0.46009,0.47373,0.23861,1.83453,1.81317,1.50749,0.004456,0.004456,0.004456
30,12535.6,1.76756,1.89681,1.52601,0.56884,0.4643,0.47741,0.24085,1.83086,1.80781,1.50341,0.004258,0.004258,0.004258
