epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,525.143,2.16337,4.06018,1.8231,0.24532,0.23417,0.15268,0.05979,2.27044,2.91744,1.73511,0.00333152,0.00333152,0.00333152
2,982.323,2.11875,2.95792,1.77324,0.20032,0.18533,0.10682,0.03907,2.45816,3.42824,2.00162,0.00653289,0.00653289,0.00653289
3,1427.81,2.20533,2.81457,1.86189,0.19959,0.20325,0.12023,0.04532,2.50726,3.34464,2.01156,0.00960226,0.00960226,0.00960226
4,1879,2.20859,2.78256,1.88717,0.24827,0.20428,0.13818,0.05338,2.36821,2.86419,1.923,0.009406,0.009406,0.009406
5,2333.1,2.12574,2.61939,1.82626,0.3376,0.27886,0.22919,0.09416,2.21143,2.54068,1.82274,0.009208,0.009208,0.009208
6,2788.29,2.0622,2.50029,1.77419,0.34546,0.26849,0.23054,0.0988,2.17232,2.44049,1.78909,0.00901,0.00901,0.00901
7,3221.79,2.0352,2.45048,1.75396,0.41704,0.31732,0.28705,0.12401,2.11022,2.26876,1.72376,0.008812,0.008812,0.008812
