epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
124,69137.7,1.7904,1.39572,1.92722,1.54288,0.5773,0.46931,0.48906,0.24927,0.55611,0.4515,0.46826,0.22329,1.78521,1.38973,1.72842,1.49858,0.000776587,0.000776587,0.000776587
125,69676.2,1.78893,1.38817,1.92069,1.54172,0.57852,0.46894,0.48895,0.2499,0.55811,0.45021,0.46789,0.22336,1.78392,1.38942,1.72623,1.49825,0.000774771,0.000774771,0.000774771
126,70214.6,1.78174,1.40435,1.91262,1.53316,0.57999,0.46975,0.48995,0.25015,0.55722,0.45105,0.46864,0.2238,1.78234,1.38868,1.72334,1.49722,0.000772955,0.000772955,0.000772955
127,70792.1,1.78176,1.39845,1.90516,1.53539,0.58067,0.46859,0.49009,0.25036,0.55707,0.45101,0.46957,0.22403,1.78086,1.38938,1.72212,1.49694,0.000771138,0.000771138,0.000771138
128,71338,1.78063,1.39324,1.91156,1.53065,0.58163,0.47023,0.49109,0.25085,0.5571,0.45207,0.47018,0.22443,1.78114,1.38909,1.72062,1.49648,0.000769322,0.000769322,0.000769322
129,71882,1.78149,1.38563,1.91556,1.53437,0.58012,0.46919,0.49159,0.25103,0.55597,0.45237,0.47091,0.22479,1.78067,1.38817,1.71931,1.49589,0.000767505,0.000767505,0.000767505
130,72429,1.77455,1.38593,1.90576,1.53385,0.57925,0.46748,0.49217,0.25169,0.55592,0.45132,0.4714,0.22516,1.77991,1.38749,1.71642,1.49526,0.000765689,0.000765689,0.000765689
131,72970.6,1.78082,1.37818,1.90204,1.53128,0.57859,0.46987,0.49283,0.25192,0.55668,0.4516,0.47217,0.22571,1.77941,1.38709,1.71344,1.49412,0.000763873,0.000763873,0.000763873
132,73514.3,1.7825,1.38364,1.90563,1.53346,0.58212,0.469,0.49415,0.25228,0.55928,0.45125,0.47296,0.22592,1.77881,1.38676,1.71182,1.49377,0.000762056,0.000762056,0.000762056
133,74076.1,1.7774,1.3918,1.90078,1.53564,0.58249,0.46906,0.49464,0.25254,0.55844,0.45237,0.47344,0.22595,1.77855,1.38589,1.71086,1.49379,0.00076024,0.00076024,0.00076024
134,74705.1,1.78233,1.39066,1.9097,1.52994,0.58302,0.47023,0.49481,0.25288,0.55948,0.45394,0.47422,0.22639,1.77719,1.38574,1.70887,1.49239,0.000758424,0.000758424,0.000758424
135,75297.4,1.77995,1.40254,1.90417,1.53152,0.58337,0.46795,0.49465,0.25324,0.56186,0.45312,0.4749,0.22648,1.77727,1.38524,1.70794,1.49183,0.000756607,0.000756607,0.000756607
136,75838.4,1.78692,1.40023,1.90865,1.53474,0.58205,0.47017,0.49541,0.25392,0.55967,0.45453,0.47599,0.2271,1.77669,1.38509,1.70635,1.49092,0.000754791,0.000754791,0.000754791
137,76379.4,1.77906,1.37895,1.89227,1.52878,0.58593,0.46776,0.496,0.25428,0.56198,0.45436,0.477,0.22721,1.77661,1.38448,1.70545,1.49041,0.000752975,0.000752975,0.000752975
138,76921.5,1.78295,1.39271,1.89832,1.52658,0.58704,0.46773,0.496,0.25442,0.5644,0.45456,0.47734,0.2273,1.77684,1.38384,1.70384,1.49027,0.000751158,0.000751158,0.000751158
139,77463.8,1.78251,1.39461,1.89127,1.52674,0.58718,0.46807,0.49636,0.25511,0.56468,0.45357,0.47761,0.22779,1.77655,1.38331,1.70186,1.49011,0.000749342,0.000749342,0.000749342
140,78008.4,1.7774,1.38805,1.8968,1.53036,0.58771,0.46941,0.49685,0.25553,0.56391,0.45511,0.47786,0.22824,1.7756,1.38315,1.70013,1.48902,0.000747525,0.000747525,0.000747525
141,78549.9,1.77328,1.36384,1.89826,1.52719,0.58653,0.47047,0.49742,0.25582,0.56534,0.45581,0.47834,0.2285,1.77446,1.38241,1.69933,1.48853,0.000745709,0.000745709,0.000745709
142,79095.3,1.77779,1.39182,1.90371,1.5311,0.58945,0.47085,0.49805,0.25591,0.56725,0.45554,0.47809,0.2288,1.77295,1.38227,1.69699,1.48633,0.000743893,0.000743893,0.000743893
143,79641.2,1.7738,1.38638,1.88992,1.52798,0.58769,0.47161,0.49823,0.25599,0.56495,0.45583,0.47851,0.22884,1.77289,1.3819,1.69738,1.48568,0.000742076,0.000742076,0.000742076
144,80184.8,1.7707,1.37161,1.89096,1.52839,0.59096,0.47085,0.49886,0.2562,0.56809,0.45409,0.47836,0.22926,1.77182,1.38068,1.69562,1.48555,0.00074026,0.00074026,0.00074026
145,80729.6,1.7711,1.39169,1.87608,1.51927,0.5905,0.47074,0.49882,0.25627,0.56734,0.45386,0.47849,0.22957,1.77126,1.38146,1.69437,1.48447,0.000738444,0.000738444,0.000738444
146,81272.4,1.77387,1.38694,1.88096,1.52262,0.58832,0.47167,0.49948,0.25674,0.5693,0.4521,0.47799,0.22935,1.77075,1.38161,1.69298,1.48368,0.000736627,0.000736627,0.000736627
147,81814,1.77145,1.37478,1.89374,1.52394,0.58902,0.47213,0.49965,0.25675,0.56867,0.45467,0.47902,0.22964,1.76983,1.38095,1.6924,1.48271,0.000734811,0.000734811,0.000734811
148,82354,1.77686,1.37551,1.88722,1.52733,0.58925,0.47198,0.50056,0.25695,0.56879,0.45499,0.47979,0.22988,1.7694,1.37963,1.69114,1.48222,0.000732995,0.000732995,0.000732995
149,82896.8,1.77824,1.3821,1.88335,1.52691,0.59059,0.47185,0.5006,0.25741,0.5682,0.45634,0.48032,0.2302,1.76836,1.38007,1.68906,1.48124,0.000731178,0.000731178,0.000731178
150,83471.4,1.76918,1.38526,1.87733,1.5146,0.59083,0.47241,0.50116,0.25741,0.56863,0.45719,0.48099,0.2301,1.76791,1.37975,1.68821,1.48064,0.000729362,0.000729362,0.000729362
151,84049.9,1.77304,1.37929,1.88932,1.5216,0.58639,0.47541,0.50093,0.25762,0.56323,0.45933,0.48152,0.23056,1.76676,1.37963,1.68756,1.47973,0.000727545,0.000727545,0.000727545
152,84625.8,1.77807,1.37901,1.89679,1.52426,0.58862,0.47416,0.50135,0.2579,0.56714,0.45962,0.48211,0.23137,1.76669,1.37877,1.68619,1.4794,0.000725729,0.000725729,0.000725729
153,85221.7,1.77008,1.38632,1.88523,1.51915,0.58974,0.47546,0.50204,0.25834,0.5715,0.45798,0.48251,0.23148,1.76607,1.37889,1.68443,1.47878,0.000723913,0.000723913,0.000723913
154,85802.1,1.77302,1.39108,1.87618,1.52198,0.59371,0.47649,0.50267,0.25886,0.57039,0.46067,0.4827,0.23126,1.76613,1.3788,1.68173,1.47862,0.000722096,0.000722096,0.000722096
155,86376.3,1.77069,1.39034,1.87228,1.52262,0.59426,0.47449,0.50286,0.25915,0.57073,0.45853,0.48252,0.23162,1.76564,1.37792,1.68052,1.47894,0.00072028,0.00072028,0.00072028
156,86953.6,1.7748,1.39153,1.87158,1.52117,0.59249,0.47635,0.50357,0.25976,0.56918,0.46031,0.48361,0.23212,1.76669,1.37744,1.67867,1.47958,0.000718464,0.000718464,0.000718464
157,87527.9,1.76861,1.38383,1.87366,1.51594,0.59278,0.47608,0.50391,0.26006,0.56999,0.46037,0.48386,0.23267,1.76628,1.37754,1.6768,1.47943,0.000716647,0.000716647,0.000716647
158,88103.3,1.77335,1.3782,1.87552,1.52169,0.59269,0.47665,0.50417,0.26028,0.57178,0.46008,0.48476,0.23331,1.76577,1.37758,1.67531,1.47901,0.000714831,0.000714831,0.000714831
159,88681.7,1.7656,1.37864,1.86822,1.5188,0.59611,0.47479,0.50482,0.26091,0.57219,0.45836,0.48516,0.23388,1.76556,1.37686,1.67434,1.47879,0.000713015,0.000713015,0.000713015
160,89254.7,1.77037,1.37193,1.8758,1.5229,0.59603,0.47399,0.50565,0.26126,0.5721,0.45822,0.48563,0.23415,1.7663,1.37642,1.67397,1.47871,0.000711198,0.000711198,0.000711198
161,89827.6,1.77158,1.39191,1.87654,1.52136,0.59476,0.47356,0.50621,0.26151,0.57051,0.45771,0.48598,0.23419,1.76603,1.37618,1.67287,1.47817,0.000709382,0.000709382,0.000709382
162,90406.2,1.7603,1.3676,1.86929,1.51621,0.59662,0.47323,0.50641,0.26192,0.57249,0.45778,0.48672,0.2345,1.76626,1.37659,1.67164,1.47803,0.000707565,0.000707565,0.000707565
163,90980,1.76244,1.38088,1.87184,1.51488,0.59539,0.47433,0.50713,0.2621,0.5735,0.45806,0.48748,0.2345,1.76585,1.37623,1.66983,1.47686,0.000705749,0.000705749,0.000705749
164,91552.2,1.769,1.38605,1.86778,1.51783,0.59692,0.47578,0.50797,0.26252,0.5746,0.45822,0.48744,0.23476,1.76587,1.37634,1.66875,1.47676,0.000703933,0.000703933,0.000703933
165,92132.5,1.76933,1.38158,1.87486,1.52334,0.59541,0.47533,0.50763,0.26273,0.57393,0.45673,0.48768,0.23507,1.76627,1.37563,1.66868,1.47731,0.000702116,0.000702116,0.000702116
166,92707.7,1.76924,1.38533,1.8611,1.51763,0.59561,0.47562,0.5079,0.26305,0.57177,0.45827,0.48772,0.23491,1.76584,1.37601,1.66733,1.47757,0.0007003,0.0007003,0.0007003
167,93282.5,1.75975,1.37329,1.8581,1.51491,0.59709,0.476,0.50836,0.26299,0.57164,0.45845,0.48773,0.23566,1.76653,1.37478,1.6665,1.47736,0.000698484,0.000698484,0.000698484
168,93856.6,1.76799,1.37825,1.86134,1.51619,0.59785,0.47595,0.50847,0.26348,0.57467,0.45794,0.48803,0.2357,1.76627,1.37467,1.66659,1.47738,0.000696667,0.000696667,0.000696667
169,94435.9,1.76435,1.3879,1.86765,1.51541,0.59661,0.47625,0.5085,0.26345,0.57218,0.45969,0.48859,0.23599,1.76579,1.3744,1.66453,1.47658,0.000694851,0.000694851,0.000694851
170,95010.3,1.76509,1.36923,1.87123,1.51615,0.59566,0.47635,0.50837,0.26366,0.57469,0.45931,0.48943,0.236,1.76491,1.37401,1.66408,1.47611,0.000693035,0.000693035,0.000693035
171,95584.4,1.76224,1.38001,1.86778,1.5153,0.59561,0.47705,0.50867,0.26364,0.57424,0.45955,0.4898,0.23597,1.76465,1.37354,1.66262,1.47564,0.000691218,0.000691218,0.000691218
172,96161.1,1.77045,1.38845,1.87352,1.51993,0.5956,0.4757,0.50884,0.26365,0.57308,0.46049,0.49032,0.23611,1.76435,1.3728,1.66209,1.4748,0.000689402,0.000689402,0.000689402
173,96736.6,1.76413,1.37511,1.86123,1.51873,0.59968,0.4751,0.50985,0.26445,0.57639,0.45939,0.49052,0.23676,1.76435,1.37233,1.66049,1.4746,0.000687585,0.000687585,0.000687585
174,97313.2,1.7594,1.37252,1.86567,1.51679,0.60202,0.47285,0.50978,0.26463,0.57847,0.45715,0.49092,0.23726,1.76321,1.37186,1.65921,1.47338,0.000685769,0.000685769,0.000685769
175,97888.9,1.76545,1.3822,1.86449,1.51545,0.60105,0.47246,0.50953,0.26486,0.57665,0.4582,0.49102,0.2374,1.76363,1.37177,1.6583,1.47393,0.000683953,0.000683953,0.000683953
176,98463.7,1.76393,1.3821,1.86625,1.51852,0.60298,0.47277,0.50983,0.26519,0.5784,0.45825,0.49126,0.23776,1.76288,1.37133,1.65688,1.47316,0.000682136,0.000682136,0.000682136
177,99038.1,1.76213,1.36496,1.84975,1.51454,0.60314,0.47422,0.5108,0.26541,0.58091,0.45725,0.49113,0.23763,1.76382,1.37114,1.65637,1.47301,0.00068032,0.00068032,0.00068032
178,99616.6,1.75332,1.37448,1.85109,1.51158,0.59983,0.47679,0.51149,0.26576,0.57804,0.45915,0.49196,0.23786,1.7628,1.37069,1.65422,1.47229,0.000678504,0.000678504,0.000678504
179,100192,1.75337,1.37224,1.85054,1.51666,0.59773,0.47852,0.51201,0.26597,0.57936,0.45852,0.49212,0.23774,1.76225,1.37196,1.65236,1.47205,0.000676687,0.000676687,0.000676687
180,100764,1.7611,1.37159,1.85376,1.50854,0.59844,0.47824,0.51228,0.26594,0.57684,0.46122,0.49255,0.23815,1.76234,1.37169,1.6508,1.47139,0.000674871,0.000674871,0.000674871
181,101341,1.75691,1.38635,1.85314,1.511,0.59778,0.48044,0.51245,0.26639,0.57562,0.46412,0.49259,0.23844,1.76244,1.37216,1.65,1.47073,0.000673055,0.000673055,0.000673055
182,101914,1.7528,1.37211,1.84164,1.50777,0.59699,0.47979,0.51233,0.26692,0.57759,0.464,0.49287,0.23878,1.76115,1.37098,1.6491,1.47029,0.000671238,0.000671238,0.000671238
183,102489,1.76068,1.37235,1.85337,1.51132,0.59754,0.47985,0.513,0.26708,0.57776,0.46372,0.49245,0.23877,1.76054,1.37043,1.64727,1.47,0.000669422,0.000669422,0.000669422
184,103065,1.75966,1.39565,1.84929,1.51031,0.59891,0.47991,0.51356,0.26769,0.57807,0.46288,0.49301,0.23903,1.76035,1.36978,1.64631,1.46899,0.000667605,0.000667605,0.000667605
185,103636,1.75051,1.37169,1.84315,1.50649,0.59974,0.47921,0.51338,0.26779,0.57843,0.46246,0.49285,0.23925,1.75916,1.36967,1.64509,1.46798,0.000665789,0.000665789,0.000665789
186,104212,1.75262,1.36612,1.84036,1.50659,0.59929,0.48227,0.5141,0.268,0.57788,0.46475,0.49373,0.23947,1.75871,1.36936,1.64456,1.46726,0.000663973,0.000663973,0.000663973
187,104782,1.75628,1.37191,1.84113,1.50919,0.59881,0.48252,0.51427,0.26786,0.57798,0.46573,0.49398,0.23942,1.75816,1.36877,1.64288,1.4668,0.000662156,0.000662156,0.000662156
188,105357,1.75299,1.38491,1.84114,1.50855,0.59822,0.48213,0.51454,0.26826,0.57809,0.46641,0.49481,0.23984,1.75893,1.36829,1.64246,1.46662,0.00066034,0.00066034,0.00066034
189,105933,1.75362,1.36634,1.83938,1.50823,0.59772,0.48208,0.51434,0.26812,0.58077,0.46501,0.49481,0.23974,1.7589,1.3674,1.64186,1.46622,0.000658524,0.000658524,0.000658524
190,106508,1.75549,1.37457,1.84559,1.50302,0.59848,0.48293,0.51483,0.26842,0.5819,0.46479,0.49502,0.24003,1.75857,1.36724,1.64138,1.46589,0.000656707,0.000656707,0.000656707
191,107082,1.7564,1.38398,1.84923,1.50785,0.60066,0.48349,0.5154,0.26902,0.57895,0.46622,0.49493,0.24007,1.75843,1.36735,1.63978,1.46595,0.000654891,0.000654891,0.000654891
192,107658,1.75149,1.37102,1.8548,1.50793,0.59764,0.48691,0.51578,0.26914,0.58236,0.46509,0.4953,0.24037,1.75793,1.36725,1.63894,1.46566,0.000653075,0.000653075,0.000653075
193,108231,1.75587,1.37175,1.85042,1.50823,0.59809,0.48535,0.51566,0.26947,0.57937,0.46747,0.49575,0.24057,1.75844,1.36781,1.6392,1.46581,0.000651258,0.000651258,0.000651258
194,108809,1.75403,1.36583,1.83242,1.50301,0.5997,0.48487,0.51599,0.26935,0.58144,0.46651,0.49609,0.24046,1.75875,1.3674,1.63777,1.46576,0.000649442,0.000649442,0.000649442
195,109381,1.74897,1.37597,1.83961,1.50381,0.60232,0.48435,0.5166,0.26981,0.58321,0.46663,0.4971,0.24087,1.7581,1.36691,1.63658,1.46506,0.000647625,0.000647625,0.000647625
196,109955,1.74897,1.37912,1.84276,1.49893,0.60093,0.48455,0.51698,0.27018,0.58245,0.46661,0.49672,0.24124,1.75696,1.36715,1.63597,1.46423,0.000645809,0.000645809,0.000645809
197,110530,1.75345,1.37337,1.83842,1.50595,0.59896,0.48491,0.51706,0.27024,0.58013,0.46787,0.49735,0.2415,1.75629,1.3667,1.63421,1.46331,0.000643993,0.000643993,0.000643993
198,111107,1.75174,1.37189,1.84049,1.50177,0.59698,0.48583,0.51705,0.27056,0.57919,0.46498,0.49667,0.24144,1.75608,1.36761,1.63255,1.46291,0.000642176,0.000642176,0.000642176
199,111686,1.74433,1.36647,1.82568,1.49913,0.59696,0.48575,0.51754,0.27075,0.57771,0.46807,0.49737,0.24158,1.75546,1.36664,1.63112,1.4623,0.00064036,0.00064036,0.00064036
200,112263,1.75745,1.37696,1.82988,1.50526,0.59682,0.48844,0.51828,0.2711,0.57708,0.46972,0.49784,0.24176,1.75536,1.36671,1.6299,1.46193,0.000638544,0.000638544,0.000638544
201,112837,1.75183,1.3607,1.83767,1.50492,0.59716,0.48772,0.51847,0.27134,0.57692,0.47126,0.49823,0.24194,1.75464,1.36621,1.62855,1.46121,0.000636727,0.000636727,0.000636727
202,113411,1.74739,1.38254,1.82076,1.50073,0.60092,0.48612,0.51906,0.27165,0.57842,0.47035,0.4987,0.2424,1.75411,1.36553,1.62684,1.46073,0.000634911,0.000634911,0.000634911
203,113981,1.74966,1.37593,1.83576,1.50387,0.59937,0.4882,0.51914,0.27184,0.57801,0.47027,0.49885,0.24266,1.75482,1.36544,1.6258,1.46073,0.000633095,0.000633095,0.000633095
204,114555,1.74708,1.36811,1.82552,1.50285,0.59873,0.48984,0.51942,0.27202,0.57698,0.47148,0.49909,0.24243,1.75463,1.36578,1.62397,1.46058,0.000631278,0.000631278,0.000631278
205,115130,1.74577,1.36676,1.83039,1.50241,0.60015,0.48891,0.52004,0.27193,0.57917,0.47209,0.49982,0.24236,1.75384,1.36522,1.62235,1.4599,0.000629462,0.000629462,0.000629462
206,115705,1.7493,1.3763,1.82451,1.49617,0.60029,0.4889,0.52076,0.27218,0.5804,0.47305,0.50106,0.24262,1.75375,1.36462,1.62084,1.45921,0.000627645,0.000627645,0.000627645
207,116281,1.74809,1.35939,1.8247,1.50478,0.59981,0.48979,0.52163,0.27263,0.57897,0.47241,0.50114,0.2425,1.75464,1.36432,1.62002,1.45914,0.000625829,0.000625829,0.000625829
208,116859,1.74849,1.37214,1.82683,1.49643,0.60116,0.48913,0.5217,0.27273,0.58119,0.47282,0.50118,0.243,1.75354,1.36383,1.61811,1.45809,0.000624013,0.000624013,0.000624013
209,117438,1.7467,1.37238,1.82778,1.50177,0.60064,0.49136,0.52264,0.27313,0.58122,0.47351,0.50194,0.2428,1.75267,1.36308,1.61856,1.458,0.000622196,0.000622196,0.000622196
210,118009,1.7471,1.36998,1.81395,1.49811,0.60298,0.49121,0.52302,0.27327,0.58109,0.47478,0.50233,0.24341,1.75317,1.36315,1.61729,1.45791,0.00062038,0.00062038,0.00062038
211,118579,1.7501,1.37477,1.82778,1.4983,0.60037,0.49311,0.52368,0.27346,0.57898,0.47539,0.50236,0.24371,1.75292,1.36258,1.61573,1.45733,0.000618564,0.000618564,0.000618564
212,119160,1.74379,1.36436,1.82609,1.49598,0.60153,0.49241,0.52414,0.27373,0.5795,0.47598,0.50282,0.24409,1.7518,1.36165,1.61408,1.45602,0.000616747,0.000616747,0.000616747
213,119732,1.75044,1.37343,1.82599,1.5004,0.59846,0.49379,0.52404,0.27349,0.5787,0.47617,0.50329,0.24399,1.75117,1.36135,1.6138,1.45594,0.000614931,0.000614931,0.000614931
214,120307,1.74787,1.37082,1.81917,1.49976,0.60199,0.49277,0.52418,0.27375,0.57941,0.47661,0.50327,0.24422,1.75096,1.36096,1.61262,1.45603,0.000613115,0.000613115,0.000613115
215,120885,1.74337,1.35856,1.82222,1.50134,0.60189,0.49312,0.52493,0.27422,0.57972,0.47635,0.5034,0.24468,1.75039,1.36051,1.61129,1.45581,0.000611298,0.000611298,0.000611298
216,121460,1.74348,1.36323,1.81854,1.49817,0.6019,0.49195,0.52489,0.27468,0.57969,0.4761,0.50406,0.24495,1.75013,1.36004,1.61009,1.45599,0.000609482,0.000609482,0.000609482
217,122038,1.74112,1.36043,1.81549,1.49356,0.60324,0.49324,0.52517,0.27445,0.58054,0.4771,0.50405,0.24508,1.74986,1.3593,1.6084,1.45607,0.000607665,0.000607665,0.000607665
218,122611,1.73979,1.36753,1.82123,1.49816,0.60296,0.4934,0.52537,0.27471,0.58005,0.4766,0.50411,0.24555,1.74949,1.35935,1.60723,1.45586,0.000605849,0.000605849,0.000605849
219,123190,1.74587,1.37176,1.82516,1.49919,0.60605,0.49304,0.52582,0.2748,0.58267,0.47647,0.50463,0.24534,1.74917,1.35803,1.60737,1.45532,0.000604033,0.000604033,0.000604033
220,123766,1.73986,1.36829,1.82336,1.4953,0.60569,0.49274,0.52624,0.27495,0.58186,0.47583,0.5047,0.24588,1.74922,1.3576,1.60691,1.45478,0.000602216,0.000602216,0.000602216
221,124341,1.7422,1.36636,1.81883,1.49971,0.6058,0.49355,0.52702,0.27521,0.58394,0.47485,0.50574,0.24608,1.74907,1.35782,1.60545,1.45499,0.0006004,0.0006004,0.0006004
222,124920,1.73639,1.36572,1.80078,1.49101,0.60547,0.4933,0.52724,0.2756,0.58231,0.47482,0.50594,0.24606,1.74803,1.35788,1.60491,1.45401,0.000598584,0.000598584,0.000598584
223,125498,1.73343,1.36022,1.80855,1.49462,0.60358,0.49531,0.52712,0.27582,0.58306,0.47675,0.5063,0.24618,1.74794,1.35733,1.60466,1.4535,0.000596767,0.000596767,0.000596767
224,126073,1.74086,1.37331,1.80868,1.49355,0.6066,0.49394,0.52782,0.27601,0.58472,0.4762,0.50669,0.24611,1.74822,1.35709,1.60463,1.45324,0.000594951,0.000594951,0.000594951
225,126654,1.73417,1.36651,1.80869,1.49356,0.6058,0.49374,0.52733,0.27626,0.58571,0.47701,0.5078,0.24704,1.7481,1.35779,1.6027,1.45308,0.000593135,0.000593135,0.000593135
226,127226,1.73899,1.36635,1.81319,1.49166,0.60645,0.4943,0.52791,0.27637,0.58812,0.47636,0.50751,0.24709,1.74802,1.35766,1.6017,1.45268,0.000591318,0.000591318,0.000591318
227,127801,1.73693,1.3579,1.80993,1.49585,0.60788,0.49358,0.52828,0.27637,0.58711,0.4764,0.50764,0.24712,1.74736,1.35798,1.60031,1.4524,0.000589502,0.000589502,0.000589502
228,128378,1.73998,1.36823,1.81243,1.49322,0.61191,0.49312,0.5288,0.27675,0.58845,0.4771,0.50866,0.24737,1.74676,1.359,1.59887,1.45301,0.000587685,0.000587685,0.000587685
229,128950,1.74123,1.36722,1.80894,1.49159,0.61253,0.49365,0.52889,0.27714,0.58911,0.47778,0.50837,0.24767,1.74653,1.35686,1.59791,1.45238,0.000585869,0.000585869,0.000585869
230,129524,1.73733,1.35731,1.79878,1.49079,0.60921,0.49594,0.52926,0.27741,0.58714,0.48081,0.50931,0.24795,1.74662,1.3576,1.59708,1.45214,0.000584053,0.000584053,0.000584053
231,130100,1.7369,1.37254,1.81031,1.49172,0.60749,0.49827,0.52945,0.27748,0.58692,0.48152,0.50983,0.24798,1.7458,1.35692,1.5959,1.45167,0.000582236,0.000582236,0.000582236
232,130673,1.73927,1.36351,1.81087,1.4947,0.61223,0.4969,0.53083,0.2782,0.58839,0.4805,0.50966,0.24842,1.74546,1.3574,1.595,1.45103,0.00058042,0.00058042,0.00058042
233,131248,1.73462,1.36285,1.80566,1.49364,0.6111,0.49623,0.53056,0.27818,0.58709,0.47831,0.50937,0.24888,1.74569,1.35711,1.59453,1.45076,0.000578604,0.000578604,0.000578604
234,131821,1.7337,1.34724,1.79819,1.49378,0.61164,0.49583,0.5313,0.27862,0.585,0.48076,0.51003,0.24919,1.74587,1.35614,1.59312,1.45038,0.000576787,0.000576787,0.000576787
235,132390,1.73614,1.36295,1.80644,1.48808,0.61123,0.49638,0.53107,0.27879,0.58652,0.47927,0.50989,0.24979,1.74616,1.35598,1.59232,1.44999,0.000574971,0.000574971,0.000574971
236,132963,1.72927,1.36519,1.80588,1.48932,0.61098,0.49714,0.53186,0.27899,0.58811,0.47891,0.5103,0.25001,1.74615,1.35601,1.59082,1.4494,0.000573155,0.000573155,0.000573155
237,133541,1.7278,1.34986,1.79858,1.48404,0.61358,0.49607,0.53194,0.2792,0.58974,0.4796,0.51109,0.25042,1.74644,1.35536,1.58988,1.44953,0.000571338,0.000571338,0.000571338
238,134115,1.72885,1.36775,1.80059,1.48582,0.61114,0.49821,0.53249,0.27929,0.58758,0.48167,0.51105,0.25058,1.7463,1.35561,1.58959,1.44914,0.000569522,0.000569522,0.000569522
239,134694,1.73936,1.35646,1.80282,1.48755,0.61233,0.49909,0.53319,0.27971,0.58861,0.48245,0.51181,0.25021,1.74622,1.35478,1.58851,1.44852,0.000567705,0.000567705,0.000567705
240,135272,1.73316,1.36976,1.79053,1.48275,0.61103,0.4987,0.5331,0.27967,0.58721,0.48195,0.51218,0.25035,1.74635,1.35414,1.58787,1.44812,0.000565889,0.000565889,0.000565889
241,135850,1.73696,1.36225,1.78907,1.48945,0.61055,0.49948,0.53343,0.27984,0.58685,0.48287,0.51298,0.25025,1.74714,1.35418,1.58633,1.44797,0.000564073,0.000564073,0.000564073
242,136426,1.73758,1.36424,1.79393,1.48404,0.60904,0.50075,0.53413,0.28,0.58503,0.48386,0.51306,0.25044,1.74659,1.35348,1.58604,1.44788,0.000562256,0.000562256,0.000562256
243,136999,1.73479,1.35453,1.79783,1.48857,0.61307,0.49909,0.53443,0.28027,0.59143,0.48097,0.51367,0.25088,1.74595,1.35328,1.58465,1.44758,0.00056044,0.00056044,0.00056044
244,137573,1.72636,1.35021,1.78284,1.48369,0.61328,0.5001,0.53509,0.2803,0.58857,0.48275,0.51362,0.25045,1.74562,1.35272,1.58398,1.44623,0.000558624,0.000558624,0.000558624
245,138147,1.73142,1.35604,1.78751,1.48174,0.61318,0.49932,0.5353,0.28073,0.58862,0.48193,0.51415,0.25058,1.74572,1.35261,1.58315,1.44608,0.000556807,0.000556807,0.000556807
246,138722,1.73491,1.35592,1.79229,1.48904,0.61153,0.50121,0.53576,0.28121,0.58696,0.48367,0.51459,0.25079,1.74531,1.35243,1.58275,1.44576,0.000554991,0.000554991,0.000554991
247,139297,1.73242,1.35919,1.78701,1.48232,0.61128,0.50226,0.5359,0.28174,0.58915,0.483,0.51421,0.25087,1.74528,1.35265,1.58221,1.44555,0.000553175,0.000553175,0.000553175
248,139873,1.73,1.33919,1.79023,1.48544,0.61485,0.50051,0.53603,0.2818,0.59045,0.48314,0.51433,0.25116,1.74491,1.35266,1.58234,1.44497,0.000551358,0.000551358,0.000551358
249,140447,1.73674,1.36559,1.79668,1.48392,0.61506,0.50086,0.53617,0.28188,0.59161,0.48334,0.51467,0.25106,1.74552,1.35184,1.58291,1.44469,0.000549542,0.000549542,0.000549542
250,141025,1.73131,1.3498,1.79209,1.48612,0.61403,0.5006,0.537,0.28229,0.58972,0.48323,0.51525,0.25166,1.74532,1.35102,1.58261,1.44454,0.000547725,0.000547725,0.000547725
251,141600,1.73463,1.36573,1.78473,1.4869,0.61474,0.49992,0.53704,0.28218,0.59107,0.48307,0.51578,0.25179,1.74515,1.35049,1.58281,1.44428,0.000545909,0.000545909,0.000545909
252,142176,1.73352,1.36073,1.78445,1.48493,0.61414,0.50094,0.53767,0.2826,0.59123,0.48353,0.5157,0.25225,1.74409,1.34957,1.5829,1.44358,0.000544093,0.000544093,0.000544093
253,142751,1.7302,1.36715,1.78326,1.48312,0.61542,0.50082,0.5376,0.28273,0.59459,0.48101,0.5155,0.25201,1.74402,1.34954,1.58208,1.44339,0.000542276,0.000542276,0.000542276
254,143325,1.73005,1.35907,1.78394,1.47932,0.6145,0.50067,0.53807,0.28277,0.59291,0.48205,0.51553,0.25201,1.7434,1.34953,1.58191,1.44308,0.00054046,0.00054046,0.00054046
255,143899,1.72243,1.34943,1.78626,1.47702,0.61594,0.50193,0.53927,0.28313,0.59189,0.48376,0.51701,0.25261,1.743,1.34914,1.58153,1.44198,0.000538644,0.000538644,0.000538644
256,144479,1.72085,1.35141,1.78563,1.48283,0.61756,0.50216,0.53908,0.28321,0.5937,0.48252,0.51589,0.2522,1.74226,1.34897,1.58158,1.44167,0.000536827,0.000536827,0.000536827
