epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,386.869,3.98583,4.91866,3.96995,0.00108,0.19027,0.00216,0.00059,3.73566,4.04646,3.63356,0.00333055,0.00333055,0.00333055
2,785.137,3.04495,3.91808,3.02162,0.11464,0.08493,0.03153,0.00915,2.88777,3.37431,2.67201,0.00659791,0.00659791,0.00659791
3,1125.46,2.58331,3.28857,2.52515,0.13311,0.13909,0.05988,0.01903,2.61312,3.36947,2.43592,0.00979927,0.00979927,0.00979927
4,1424.58,2.38752,2.98545,2.29148,0.21538,0.20784,0.121,0.04403,2.38,2.7645,2.19617,0.009703,0.009703,0.009703
5,1757.14,2.25955,2.79978,2.14978,0.23098,0.25741,0.14861,0.0556,2.27585,2.60753,2.08426,0.009604,0.009604,0.009604
6,2063.21,2.18336,2.67873,2.07019,0.26813,0.2511,0.18372,0.07324,2.20703,2.46829,2.02811,0.009505,0.009505,0.009505
7,2347.49,2.13099,2.5897,2.0156,0.30971,0.2515,0.20053,0.08128,2.15454,2.41175,1.96693,0.009406,0.009406,0.009406
8,2661.02,2.10769,2.53471,1.97656,0.31006,0.28938,0.22818,0.09659,2.10748,2.30836,1.91192,0.009307,0.009307,0.009307
9,2969.82,2.07108,2.46964,1.9473,0.36481,0.30089,0.25657,0.10813,2.09889,2.26708,1.89371,0.009208,0.009208,0.009208
10,3281.88,2.04897,2.43258,1.91558,0.38558,0.32143,0.28536,0.12199,2.05282,2.1936,1.868,0.009109,0.009109,0.009109
11,3613.73,2.02488,2.38319,1.88804,0.36775,0.32986,0.28057,0.12377,2.03031,2.15809,1.82669,0.00901,0.00901,0.00901
12,3929.95,2.02244,2.36193,1.8759,0.37623,0.33067,0.28779,0.12624,2.02847,2.14753,1.82238,0.008911,0.008911,0.008911
13,4336.12,2.0008,2.32188,1.85933,0.41271,0.34486,0.31149,0.13791,1.99021,2.12071,1.78597,0.008812,0.008812,0.008812
14,4769.82,1.99103,2.29925,1.84429,0.40433,0.35868,0.32238,0.14209,1.98955,2.08624,1.78416,0.008713,0.008713,0.008713
15,5075.9,1.97079,2.28243,1.82994,0.42255,0.35328,0.32356,0.14412,1.96725,2.06833,1.77321,0.008614,0.008614,0.008614
16,5405.52,1.96777,2.25108,1.81203,0.43864,0.37081,0.34222,0.15534,1.95192,2.02752,1.72769,0.008515,0.008515,0.008515
17,5733.48,1.95015,2.23171,1.79654,0.43635,0.36913,0.34722,0.15682,1.9313,2.01504,1.73226,0.008416,0.008416,0.008416
18,6148.4,1.93955,2.20137,1.79296,0.4492,0.3765,0.35897,0.16492,1.91924,1.98979,1.72349,0.008317,0.008317,0.008317
19,6576.06,1.92981,2.1953,1.78292,0.4568,0.38037,0.3629,0.16418,1.91746,1.9697,1.72792,0.008218,0.008218,0.008218
20,6911.38,1.92487,2.17649,1.77216,0.48823,0.38233,0.38465,0.17502,1.90174,1.95061,1.70286,0.008119,0.008119,0.008119
21,7257.19,1.91675,2.16421,1.76094,0.48133,0.39292,0.38794,0.18019,1.89392,1.91424,1.6962,0.00802,0.00802,0.00802
22,7627.95,1.91147,2.14967,1.75502,0.48575,0.3917,0.38533,0.17987,1.88871,1.91777,1.69789,0.007921,0.007921,0.007921
23,7993.55,1.90449,2.13839,1.7526,0.4906,0.40338,0.39519,0.18432,1.87453,1.89759,1.68138,0.007822,0.007822,0.007822
24,8313.68,1.90113,2.11965,1.741,0.49137,0.40432,0.39601,0.18681,1.87092,1.8864,1.68105,0.007723,0.007723,0.007723
25,8624.43,1.89182,2.11058,1.73514,0.49788,0.40796,0.40284,0.19049,1.86031,1.86897,1.66928,0.007624,0.007624,0.007624
26,9063.24,1.87905,2.08937,1.72243,0.50202,0.40873,0.40905,0.1948,1.85774,1.86348,1.65962,0.007525,0.007525,0.007525
27,9376.33,1.87716,2.08153,1.71585,0.49872,0.4139,0.41248,0.19598,1.85325,1.84994,1.65846,0.007426,0.007426,0.007426
28,9661.83,1.87325,2.08031,1.71544,0.49499,0.42256,0.41536,0.19966,1.84436,1.8433,1.64704,0.007327,0.007327,0.007327
29,9944.47,1.87063,2.06847,1.71366,0.5052,0.42187,0.42118,0.20186,1.83583,1.82829,1.6423,0.007228,0.007228,0.007228
30,10227.2,1.85967,2.04864,1.70409,0.51751,0.42317,0.42608,0.20418,1.82954,1.81354,1.63383,0.007129,0.007129,0.007129
31,10509.8,1.85509,2.04252,1.69762,0.52853,0.42059,0.43039,0.20623,1.82591,1.80966,1.63099,0.00703,0.00703,0.00703
32,10791.9,1.85032,2.02473,1.6946,0.51504,0.4289,0.43185,0.208,1.82312,1.79676,1.63116,0.006931,0.006931,0.006931
33,11073.7,1.84786,2.02706,1.69303,0.50867,0.42851,0.43107,0.20854,1.81344,1.79649,1.62727,0.006832,0.006832,0.006832
34,11354.6,1.84221,2.01068,1.68455,0.51508,0.43334,0.43518,0.21148,1.81187,1.78151,1.62204,0.006733,0.006733,0.006733
35,11637.1,1.84047,2.00848,1.67808,0.52553,0.43517,0.44021,0.21458,1.80579,1.77298,1.61697,0.006634,0.006634,0.006634
36,11918.4,1.83359,1.98765,1.67005,0.52842,0.43805,0.44543,0.2171,1.80312,1.76433,1.61185,0.006535,0.006535,0.006535
37,12200.1,1.82638,1.98262,1.66988,0.52713,0.44065,0.44744,0.21904,1.80053,1.76,1.60997,0.006436,0.006436,0.006436
38,12481.4,1.83077,1.97705,1.66448,0.52712,0.44824,0.45043,0.2202,1.79475,1.75235,1.6077,0.006337,0.006337,0.006337
39,12762.9,1.81806,1.97121,1.65639,0.53138,0.44526,0.45094,0.22074,1.7924,1.74651,1.60547,0.006238,0.006238,0.006238
40,13043.7,1.81898,1.96076,1.65799,0.53564,0.44817,0.45416,0.22294,1.78744,1.7408,1.60293,0.006139,0.006139,0.006139
41,13325.5,1.81428,1.95141,1.64938,0.53992,0.4507,0.45685,0.22441,1.78722,1.73479,1.59897,0.00604,0.00604,0.00604
42,13607.3,1.80993,1.93833,1.64611,0.54133,0.45122,0.45851,0.22525,1.78549,1.7279,1.59702,0.005941,0.005941,0.005941
43,13888.1,1.80853,1.94416,1.64843,0.54214,0.45384,0.46087,0.22647,1.78302,1.72383,1.59487,0.005842,0.005842,0.005842
44,14169.4,1.80464,1.9312,1.64549,0.54044,0.45812,0.46243,0.22799,1.78006,1.71858,1.59237,0.005743,0.005743,0.005743
45,14450.6,1.79694,1.91736,1.63505,0.5482,0.45725,0.46461,0.22918,1.77618,1.71304,1.59067,0.005644,0.005644,0.005644
46,14732.2,1.79432,1.89973,1.63665,0.54619,0.46056,0.46662,0.23004,1.77482,1.70718,1.58988,0.005545,0.005545,0.005545
