epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,493.977,1.65852,1.69756,1.445,0.57963,0.4761,0.49973,0.25415,1.81505,1.73933,1.4754,0.00333152,0.00333152,0.00333152
2,967.292,1.6956,1.75885,1.47009,0.53837,0.45629,0.46058,0.22444,1.88378,1.85432,1.51123,0.00653289,0.00653289,0.00653289
3,1432.17,1.77526,1.89538,1.5179,0.50945,0.40566,0.39736,0.18518,1.95105,2.01902,1.57569,0.00960226,0.00960226,0.00960226
4,1892.55,1.84569,2.03751,1.57911,0.45685,0.3859,0.36789,0.1668,2.00784,2.09267,1.62365,0.009406,0.009406,0.009406
5,2354.16,1.84999,2.04532,1.58497,0.48854,0.38872,0.38043,0.17271,1.96101,2.03057,1.60458,0.009208,0.009208,0.009208
