epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,588.443,1.79985,2.33305,2.88494,0.31721,0.15094,0.1182,0.0487,2.18996,4.48695,3.19592,0.0700163,0.00333152,0.00333152
2,1094.46,1.88882,2.57305,3.01898,0.32937,0.33793,0.24236,0.09354,1.99363,3.11107,2.98841,0.0399909,0.00663948,0.00663948
3,1600.2,1.84675,2.50184,3.00241,0.38901,0.34387,0.26919,0.11572,1.97297,3.11203,3.04072,0.00994014,0.00992205,0.00992205
4,2081.09,1.8063,2.44137,2.9779,0.45622,0.36366,0.32017,0.14284,1.9117,2.54413,2.91717,0.00988577,0.00988577,0.00988577
5,2561.58,1.7901,2.39064,2.97221,0.43073,0.37598,0.34138,0.15565,1.77402,2.32703,2.91554,0.00984769,0.00984769,0.00984769
6,3046.69,1.7684,2.3484,2.95863,0.46756,0.40862,0.38049,0.1795,1.76142,2.2334,2.90578,0.00980962,0.00980962,0.00980962
7,3532.24,1.765,2.33803,2.95697,0.46517,0.40984,0.38623,0.182,1.7204,2.25023,2.82554,0.00977154,0.00977154,0.00977154
8,4016,1.76346,2.31684,2.96346,0.47415,0.39128,0.3543,0.16802,1.74348,2.23213,2.85886,0.00973346,0.00973346,0.00973346
9,4494.43,1.75582,2.29704,2.96256,0.47167,0.43124,0.40348,0.19574,1.70497,2.08372,2.84666,0.00969538,0.00969538,0.00969538
10,4979.16,1.74827,2.28884,2.94984,0.47932,0.4395,0.39675,0.19315,1.6939,2.09354,2.8446,0.00965731,0.00965731,0.00965731
11,5462.47,1.74246,2.27781,2.93715,0.50933,0.44007,0.43041,0.21061,1.68239,2.07467,2.81319,0.00961923,0.00961923,0.00961923
12,5951.88,1.73646,2.26401,2.9377,0.50472,0.44963,0.42926,0.21526,1.62924,2.03586,2.81167,0.00958115,0.00958115,0.00958115
13,6484.89,1.73102,2.252,2.93427,0.527,0.46237,0.44761,0.2213,1.6469,1.99543,2.79511,0.00954308,0.00954308,0.00954308
14,7013.36,1.72454,2.2445,2.93462,0.52071,0.47106,0.45196,0.2269,1.62954,1.95227,2.7858,0.009505,0.009505,0.009505
15,7550.88,1.72972,2.23935,2.93014,0.52362,0.46256,0.4527,0.23055,1.61183,1.94364,2.77577,0.00946692,0.00946692,0.00946692
16,8083.44,1.71784,2.2326,2.93159,0.52667,0.46813,0.45978,0.23296,1.62092,1.92398,2.77552,0.00942885,0.00942885,0.00942885
17,8615.32,1.71703,2.21729,2.93026,0.52813,0.46904,0.45969,0.23513,1.60312,1.93804,2.77306,0.00939077,0.00939077,0.00939077
18,9147.5,1.71108,2.20957,2.92928,0.53944,0.47298,0.47109,0.24147,1.60174,1.91187,2.77045,0.00935269,0.00935269,0.00935269
19,9678.11,1.71023,2.20537,2.92739,0.5403,0.47902,0.47548,0.24402,1.59763,1.88435,2.76181,0.00931462,0.00931462,0.00931462
20,10209.2,1.70888,2.19577,2.92472,0.5344,0.48924,0.47669,0.24733,1.5904,1.88349,2.7642,0.00927654,0.00927654,0.00927654
21,10741.5,1.70204,2.20327,2.91725,0.53753,0.47725,0.47267,0.24655,1.5805,1.87672,2.75443,0.00923846,0.00923846,0.00923846
22,11274.7,1.69861,2.18204,2.91766,0.54547,0.47684,0.47674,0.24807,1.58134,1.88267,2.754,0.00920038,0.00920038,0.00920038
23,11812.5,1.70252,2.17543,2.92422,0.53627,0.48862,0.48357,0.25177,1.5789,1.86314,2.75102,0.00916231,0.00916231,0.00916231
24,12345.3,1.70701,2.18333,2.9217,0.53857,0.48976,0.48376,0.25214,1.57549,1.85788,2.7491,0.00912423,0.00912423,0.00912423
25,12878.9,1.69837,2.16548,2.91112,0.54024,0.49444,0.48706,0.25539,1.57262,1.85118,2.74786,0.00908615,0.00908615,0.00908615
26,13410.4,1.69794,2.16003,2.92027,0.55138,0.48527,0.48882,0.25521,1.57261,1.85053,2.74849,0.00904808,0.00904808,0.00904808
27,13938.3,1.69505,2.16144,2.90611,0.54655,0.4907,0.48846,0.2564,1.56586,1.84605,2.74662,0.00901,0.00901,0.00901
28,14467.9,1.69472,2.17295,2.91949,0.54666,0.49325,0.49095,0.25653,1.56677,1.84437,2.74876,0.00897192,0.00897192,0.00897192
29,14999.3,1.68786,2.16035,2.90177,0.55116,0.48987,0.49098,0.25787,1.56527,1.84561,2.74557,0.00893385,0.00893385,0.00893385
30,15531.8,1.69112,2.15318,2.91421,0.55422,0.48945,0.49296,0.25874,1.56512,1.84301,2.74397,0.00889577,0.00889577,0.00889577
31,16063.2,1.69335,2.15062,2.90571,0.55469,0.48743,0.49113,0.25789,1.56673,1.84152,2.74568,0.00885769,0.00885769,0.00885769
32,16596.7,1.68442,2.15367,2.89948,0.5528,0.48963,0.49215,0.25817,1.56605,1.83895,2.74495,0.00881962,0.00881962,0.00881962
33,17092.1,1.69078,2.14961,2.91129,0.55401,0.49029,0.49292,0.25897,1.56385,1.8385,2.74413,0.00878154,0.00878154,0.00878154
34,17584,1.6859,2.14322,2.89966,0.54951,0.49089,0.49323,0.25943,1.56346,1.83893,2.74476,0.00874346,0.00874346,0.00874346
35,18066.2,1.68978,2.15014,2.91111,0.55355,0.48958,0.49362,0.25939,1.56218,1.83897,2.74593,0.00870538,0.00870538,0.00870538
36,18549.3,1.68287,2.15325,2.90315,0.55139,0.48954,0.49357,0.25921,1.56198,1.84002,2.7459,0.00866731,0.00866731,0.00866731
37,19031.5,1.67711,2.1274,2.90357,0.55196,0.48831,0.49273,0.25908,1.56218,1.84002,2.74702,0.00862923,0.00862923,0.00862923
38,19516.5,1.68427,2.139,2.90383,0.55345,0.48686,0.49305,0.25883,1.56222,1.84041,2.74727,0.00859115,0.00859115,0.00859115
39,20005.1,1.67826,2.12518,2.89558,0.55555,0.48664,0.49354,0.25928,1.56323,1.84047,2.74719,0.00855308,0.00855308,0.00855308
40,20489.1,1.67654,2.1335,2.88782,0.55577,0.4887,0.49352,0.25964,1.56342,1.84004,2.74772,0.008515,0.008515,0.008515
41,20974.2,1.67891,2.12934,2.90069,0.55133,0.49093,0.49227,0.25975,1.56274,1.84116,2.74807,0.00847692,0.00847692,0.00847692
42,21460.6,1.67763,2.12282,2.89824,0.55053,0.49132,0.49231,0.2598,1.56291,1.84276,2.74763,0.00843885,0.00843885,0.00843885
43,21945,1.67808,2.12566,2.89214,0.55363,0.48893,0.49269,0.26009,1.56324,1.84351,2.74768,0.00840077,0.00840077,0.00840077
44,22433.9,1.66965,2.12516,2.90287,0.55074,0.4907,0.49283,0.26012,1.56373,1.8451,2.74791,0.00836269,0.00836269,0.00836269
45,22921.6,1.68072,2.1165,2.90587,0.55214,0.49116,0.49302,0.26004,1.564,1.84583,2.74793,0.00832462,0.00832462,0.00832462
46,23404.3,1.67504,2.12941,2.8896,0.55243,0.49027,0.49212,0.2596,1.56402,1.84693,2.74723,0.00828654,0.00828654,0.00828654
47,23893.6,1.67147,2.11538,2.88973,0.55775,0.49038,0.49268,0.25973,1.56394,1.84714,2.74684,0.00824846,0.00824846,0.00824846
48,24381.2,1.67591,2.11604,2.9,0.55981,0.48862,0.49262,0.26019,1.56411,1.84764,2.7474,0.00821038,0.00821038,0.00821038
49,24865,1.67346,2.11958,2.89707,0.55439,0.49181,0.49322,0.26028,1.56459,1.84837,2.74848,0.00817231,0.00817231,0.00817231
50,25352.7,1.67552,2.1176,2.89287,0.5555,0.4917,0.49319,0.26024,1.56534,1.84974,2.74838,0.00813423,0.00813423,0.00813423
51,25844.3,1.66972,2.10652,2.88195,0.55549,0.49097,0.49336,0.2602,1.56622,1.85042,2.74856,0.00809615,0.00809615,0.00809615
52,26328.5,1.66595,2.09847,2.8902,0.55793,0.48881,0.49379,0.26013,1.56669,1.85186,2.74841,0.00805808,0.00805808,0.00805808
