epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,617.144,1.76017,2.11687,1.63623,0.57132,0.48478,0.5069,0.25378,1.73003,1.6608,1.56137,0.00333173,0.00333173,0.00333173
2,1182.44,1.75916,1.90097,1.62235,0.57737,0.46319,0.49411,0.24324,1.77263,1.66838,1.57539,0.00664307,0.00664307,0.00664307
3,1735.99,1.81676,1.98217,1.65235,0.51509,0.43047,0.43614,0.20245,1.82326,1.8167,1.63684,0.00993241,0.00993241,0.00993241
4,2307.8,1.86712,2.07835,1.69346,0.49017,0.4122,0.41048,0.19104,1.84703,1.85945,1.66036,0.009901,0.009901,0.009901
5,2870.97,1.85898,2.07025,1.6976,0.50883,0.43503,0.43058,0.20047,1.83887,1.85768,1.66675,0.009868,0.009868,0.009868
6,3453.32,1.85518,2.05117,1.68876,0.50298,0.4286,0.42792,0.20087,1.82138,1.83103,1.6229,0.009835,0.009835,0.009835
7,4024.88,1.85081,2.03746,1.6825,0.51774,0.44593,0.45027,0.21052,1.80748,1.78042,1.61498,0.009802,0.009802,0.009802
8,4586.9,1.84234,2.02188,1.67467,0.53761,0.44731,0.45125,0.21527,1.81037,1.77324,1.6332,0.009769,0.009769,0.009769
9,5148.4,1.83787,2.00659,1.67001,0.53993,0.44913,0.4597,0.22356,1.78491,1.75141,1.6124,0.009736,0.009736,0.009736
10,5707.32,1.83511,2.01186,1.66609,0.54225,0.45279,0.46754,0.22402,1.78039,1.74662,1.59561,0.009703,0.009703,0.009703
11,6274.73,1.82854,1.99221,1.65965,0.55636,0.46886,0.48536,0.23646,1.76794,1.71274,1.58624,0.00967,0.00967,0.00967
12,6845.35,1.82719,1.98191,1.65611,0.56444,0.4597,0.482,0.23724,1.75229,1.71024,1.57729,0.009637,0.009637,0.009637
13,7401.05,1.81701,1.96543,1.65136,0.57062,0.4728,0.49489,0.24268,1.74762,1.68616,1.5755,0.009604,0.009604,0.009604
14,7956.31,1.81554,1.9624,1.64718,0.55308,0.474,0.49151,0.24339,1.73947,1.67801,1.56267,0.009571,0.009571,0.009571
