epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,478.924,1.48271,1.90066,2.62233,0.55128,0.477,0.48594,0.25953,1.56175,2.21198,2.64486,0.0670179,0.000333152,0.000333152
2,920.715,1.46739,1.76384,2.61722,0.56202,0.51239,0.52323,0.28655,1.48815,1.8255,2.5528,0.0340112,0.000659828,0.000659828
3,1354.74,1.47642,1.76626,2.6216,0.60047,0.53221,0.55477,0.31265,1.47555,1.71728,2.55213,0.000997929,0.000979843,0.000979843
4,1785.8,1.47725,1.77415,2.61103,0.59329,0.52281,0.54313,0.30959,1.46181,1.72027,2.51984,0.00097003,0.00097003,0.00097003
5,2218.55,1.47978,1.76414,2.62138,0.61351,0.53349,0.56415,0.31823,1.44386,1.65351,2.55833,0.00096004,0.00096004,0.00096004
6,2650.15,1.46775,1.74455,2.60416,0.59677,0.54615,0.56253,0.31996,1.45152,1.71887,2.54279,0.00095005,0.00095005,0.00095005
7,3081.27,1.46961,1.75107,2.60423,0.5983,0.54286,0.56405,0.32308,1.43889,1.69617,2.51694,0.00094006,0.00094006,0.00094006
8,3512.2,1.46762,1.73701,2.6033,0.62356,0.54441,0.57528,0.32879,1.42714,1.6178,2.51342,0.00093007,0.00093007,0.00093007
9,3943.33,1.463,1.72147,2.59835,0.62104,0.55989,0.59145,0.34206,1.4172,1.56353,2.50389,0.00092008,0.00092008,0.00092008
10,4374.53,1.45863,1.7158,2.60407,0.63304,0.55669,0.59154,0.34045,1.39872,1.65504,2.50343,0.00091009,0.00091009,0.00091009
11,4805.96,1.45656,1.70497,2.59888,0.64043,0.56334,0.60526,0.34956,1.40494,1.53897,2.49499,0.0009001,0.0009001,0.0009001
12,5235.56,1.45722,1.70481,2.59511,0.6306,0.56717,0.60301,0.35448,1.38442,1.53963,2.49913,0.00089011,0.00089011,0.00089011
13,5666.8,1.45146,1.69256,2.58547,0.63652,0.56507,0.60241,0.35453,1.38411,1.5285,2.49381,0.00088012,0.00088012,0.00088012
14,6097.77,1.44618,1.69288,2.58972,0.64283,0.57376,0.61207,0.36176,1.38276,1.51166,2.4817,0.00087013,0.00087013,0.00087013
15,6529.42,1.44691,1.68155,2.58323,0.65314,0.57882,0.61863,0.36823,1.38724,1.48715,2.47897,0.00086014,0.00086014,0.00086014
16,6959.59,1.44333,1.68297,2.58695,0.6434,0.58669,0.6221,0.37097,1.36308,1.50262,2.47315,0.00085015,0.00085015,0.00085015
17,7390.91,1.44004,1.67379,2.58454,0.64304,0.58273,0.62041,0.37301,1.35394,1.49096,2.46493,0.00084016,0.00084016,0.00084016
18,7822.49,1.44002,1.66888,2.58019,0.65475,0.58621,0.63251,0.37949,1.36027,1.46337,2.45779,0.00083017,0.00083017,0.00083017
19,8253.38,1.43686,1.66323,2.57623,0.66158,0.58046,0.63146,0.38031,1.35873,1.46958,2.46312,0.00082018,0.00082018,0.00082018
20,8684.9,1.43112,1.65944,2.56986,0.64451,0.59539,0.63264,0.38194,1.34379,1.44608,2.44886,0.00081019,0.00081019,0.00081019
21,9115.15,1.43081,1.64976,2.56633,0.65658,0.58943,0.6357,0.3838,1.3377,1.45499,2.44975,0.0008002,0.0008002,0.0008002
22,9545.91,1.42924,1.6454,2.57452,0.66319,0.5903,0.636,0.38518,1.34047,1.44854,2.44853,0.00079021,0.00079021,0.00079021
23,9976.96,1.4289,1.63647,2.57381,0.67353,0.59127,0.63975,0.38856,1.33328,1.43454,2.44409,0.00078022,0.00078022,0.00078022
24,10407.4,1.43181,1.64348,2.57271,0.67622,0.58662,0.64209,0.38984,1.3311,1.43435,2.44141,0.00077023,0.00077023,0.00077023
25,10838.6,1.41656,1.62212,2.56004,0.66977,0.59112,0.64439,0.39214,1.32223,1.43278,2.43466,0.00076024,0.00076024,0.00076024
26,11268.3,1.42119,1.61741,2.56634,0.67023,0.59554,0.64503,0.39316,1.31766,1.42724,2.43034,0.00075025,0.00075025,0.00075025
27,11699.7,1.41897,1.62656,2.55806,0.66755,0.59471,0.6449,0.39566,1.31614,1.41772,2.43029,0.00074026,0.00074026,0.00074026
28,12131,1.41205,1.62337,2.56529,0.66865,0.59513,0.64639,0.39717,1.31204,1.41109,2.4302,0.00073027,0.00073027,0.00073027
29,12561.9,1.41196,1.62101,2.55414,0.66834,0.59757,0.64869,0.39865,1.31026,1.41129,2.42963,0.00072028,0.00072028,0.00072028
30,12992.4,1.41276,1.61035,2.55838,0.66938,0.59794,0.64933,0.39944,1.31056,1.40667,2.42809,0.00071029,0.00071029,0.00071029
31,13422.2,1.4071,1.6062,2.54581,0.67328,0.59593,0.64981,0.39995,1.3099,1.40143,2.429,0.0007003,0.0007003,0.0007003
32,13853.5,1.40501,1.59861,2.54578,0.6767,0.59646,0.65159,0.40118,1.30855,1.39913,2.42763,0.00069031,0.00069031,0.00069031
33,14284.9,1.40711,1.59695,2.54545,0.67286,0.60028,0.6524,0.40185,1.30737,1.39716,2.42499,0.00068032,0.00068032,0.00068032
34,14715.2,1.40042,1.58607,2.53899,0.68009,0.59887,0.65386,0.40318,1.30571,1.39492,2.42279,0.00067033,0.00067033,0.00067033
35,15145.4,1.40135,1.59341,2.55148,0.67822,0.59762,0.65345,0.40319,1.30486,1.39156,2.42163,0.00066034,0.00066034,0.00066034
36,15576.5,1.39797,1.59036,2.54477,0.68219,0.59501,0.65401,0.40416,1.30376,1.38837,2.42109,0.00065035,0.00065035,0.00065035
37,16007.3,1.39776,1.58113,2.5446,0.6811,0.59696,0.65472,0.40467,1.30304,1.38466,2.42054,0.00064036,0.00064036,0.00064036
38,16438.9,1.39844,1.57873,2.54578,0.67813,0.5985,0.65545,0.4054,1.3021,1.38336,2.41998,0.00063037,0.00063037,0.00063037
39,16865.8,1.39039,1.56793,2.53597,0.67702,0.5989,0.65502,0.40587,1.30103,1.38071,2.41887,0.00062038,0.00062038,0.00062038
40,17292,1.38511,1.5728,2.52976,0.67743,0.59912,0.6554,0.40639,1.30016,1.37889,2.41856,0.00061039,0.00061039,0.00061039
41,17717.7,1.38707,1.5689,2.53597,0.67771,0.60156,0.6566,0.40674,1.29956,1.37698,2.41767,0.0006004,0.0006004,0.0006004
42,18145.3,1.38517,1.56065,2.53871,0.67858,0.60239,0.65693,0.40713,1.29912,1.37579,2.41691,0.00059041,0.00059041,0.00059041
43,18573,1.38537,1.55615,2.52387,0.68,0.60329,0.65763,0.40823,1.29839,1.37401,2.4165,0.00058042,0.00058042,0.00058042
44,19000.5,1.37572,1.55296,2.52612,0.68068,0.60376,0.65922,0.409,1.29742,1.37204,2.41562,0.00057043,0.00057043,0.00057043
45,19426.7,1.37772,1.54271,2.53119,0.68248,0.60132,0.65968,0.4093,1.29701,1.3695,2.41437,0.00056044,0.00056044,0.00056044
46,19853.8,1.37957,1.54576,2.52626,0.68079,0.60297,0.66065,0.40991,1.29662,1.36781,2.41366,0.00055045,0.00055045,0.00055045
47,20281.5,1.37575,1.54347,2.52038,0.6832,0.6018,0.66108,0.41043,1.29587,1.36608,2.41238,0.00054046,0.00054046,0.00054046
48,20710.6,1.37655,1.53471,2.52469,0.68253,0.60344,0.6614,0.41074,1.29501,1.36415,2.41161,0.00053047,0.00053047,0.00053047
49,21139.3,1.37236,1.53344,2.51398,0.68357,0.60312,0.66236,0.41151,1.29459,1.36247,2.41086,0.00052048,0.00052048,0.00052048
50,21569.3,1.36852,1.52968,2.51323,0.68408,0.60167,0.66253,0.41226,1.29408,1.36075,2.40992,0.00051049,0.00051049,0.00051049
51,21998.5,1.36566,1.52359,2.50673,0.68445,0.60199,0.66289,0.41286,1.29319,1.35965,2.40846,0.0005005,0.0005005,0.0005005
52,22428.2,1.36059,1.50949,2.511,0.68545,0.60316,0.66399,0.41332,1.29247,1.35726,2.40733,0.00049051,0.00049051,0.00049051
53,22859.3,1.35749,1.50769,2.50729,0.68598,0.60399,0.66472,0.41398,1.29212,1.35509,2.40661,0.00048052,0.00048052,0.00048052
54,23289,1.36291,1.51372,2.51032,0.68717,0.60579,0.66553,0.41452,1.29146,1.35338,2.40605,0.00047053,0.00047053,0.00047053
55,23719.8,1.35901,1.50904,2.51523,0.68804,0.60476,0.66573,0.41504,1.29098,1.35174,2.40551,0.00046054,0.00046054,0.00046054
56,24149.9,1.35336,1.50441,2.50967,0.68836,0.60447,0.66598,0.41552,1.29041,1.34999,2.40491,0.00045055,0.00045055,0.00045055
57,24581.4,1.35285,1.49954,2.49342,0.68662,0.60618,0.66646,0.41603,1.28999,1.34765,2.4038,0.00044056,0.00044056,0.00044056
58,25012.6,1.34432,1.48594,2.48478,0.68883,0.60661,0.66758,0.41698,1.29012,1.34492,2.40287,0.00043057,0.00043057,0.00043057
59,25445.5,1.34882,1.48112,2.50067,0.69003,0.60693,0.6682,0.41789,1.28886,1.34363,2.40199,0.00042058,0.00042058,0.00042058
60,25875.4,1.34744,1.47933,2.48495,0.69034,0.60757,0.66869,0.41839,1.28807,1.34178,2.40102,0.00041059,0.00041059,0.00041059
61,26305.4,1.33979,1.46741,2.48415,0.69054,0.60757,0.66943,0.41923,1.28717,1.34021,2.39992,0.0004006,0.0004006,0.0004006
62,26735.5,1.33813,1.47659,2.48385,0.69016,0.60843,0.67006,0.42008,1.28604,1.33757,2.39852,0.00039061,0.00039061,0.00039061
63,27166.5,1.34177,1.46309,2.47928,0.69091,0.60838,0.67102,0.42092,1.2852,1.33486,2.39746,0.00038062,0.00038062,0.00038062
64,27597.2,1.33398,1.46084,2.47716,0.69286,0.60882,0.67145,0.42114,1.28458,1.33264,2.39628,0.00037063,0.00037063,0.00037063
65,28028.6,1.33139,1.45752,2.47346,0.69108,0.61304,0.6725,0.42202,1.28335,1.33104,2.39459,0.00036064,0.00036064,0.00036064
66,28458.5,1.33,1.44426,2.47717,0.6932,0.61119,0.67347,0.42293,1.28263,1.32965,2.3936,0.00035065,0.00035065,0.00035065
67,28889.5,1.32546,1.44228,2.47566,0.69299,0.61214,0.67406,0.42305,1.28186,1.32703,2.3929,0.00034066,0.00034066,0.00034066
68,29320.7,1.32922,1.4388,2.46962,0.69424,0.61279,0.67538,0.42396,1.28123,1.32485,2.39222,0.00033067,0.00033067,0.00033067
69,29750.8,1.3178,1.43746,2.46966,0.69397,0.61331,0.67596,0.42508,1.28051,1.32276,2.39121,0.00032068,0.00032068,0.00032068
70,30180.8,1.31632,1.43752,2.4579,0.6963,0.61277,0.6766,0.42587,1.27907,1.31984,2.38964,0.00031069,0.00031069,0.00031069
71,30613.3,1.3226,1.43673,2.45421,0.69756,0.61304,0.67745,0.42656,1.2781,1.31825,2.3884,0.0003007,0.0003007,0.0003007
72,31045.1,1.31233,1.41514,2.45714,0.69622,0.61485,0.6783,0.42746,1.27669,1.31596,2.38735,0.00029071,0.00029071,0.00029071
73,31485.9,1.3083,1.41072,2.44714,0.69601,0.6162,0.67841,0.42825,1.27586,1.31319,2.38598,0.00028072,0.00028072,0.00028072
74,31917.5,1.3088,1.40764,2.4449,0.70036,0.61386,0.67875,0.42872,1.27479,1.31023,2.38446,0.00027073,0.00027073,0.00027073
75,32346.9,1.31029,1.40989,2.45647,0.699,0.61558,0.6799,0.42984,1.27382,1.30717,2.38369,0.00026074,0.00026074,0.00026074
76,32776.7,1.29941,1.39255,2.4422,0.70397,0.61426,0.68033,0.43033,1.27311,1.30479,2.38212,0.00025075,0.00025075,0.00025075
77,33208.5,1.30494,1.39786,2.45577,0.70716,0.61278,0.68113,0.43125,1.27178,1.3027,2.3812,0.00024076,0.00024076,0.00024076
78,33641.2,1.29781,1.39463,2.44136,0.70753,0.61335,0.68171,0.43172,1.271,1.30037,2.37973,0.00023077,0.00023077,0.00023077
79,34071.5,1.29426,1.38447,2.43953,0.70703,0.61496,0.68197,0.43263,1.27016,1.29811,2.37872,0.00022078,0.00022078,0.00022078
80,34502.3,1.29197,1.37867,2.42942,0.70626,0.61614,0.68294,0.43349,1.26938,1.29593,2.37758,0.00021079,0.00021079,0.00021079
81,34933,1.28722,1.36715,2.42699,0.70744,0.61673,0.68435,0.43399,1.26823,1.29395,2.3763,0.0002008,0.0002008,0.0002008
82,35364.2,1.27893,1.35709,2.42221,0.70952,0.61748,0.68566,0.43488,1.26704,1.29106,2.3748,0.00019081,0.00019081,0.00019081
83,35795,1.28347,1.36233,2.43137,0.71116,0.61699,0.68623,0.43543,1.26614,1.28856,2.37372,0.00018082,0.00018082,0.00018082
84,36225.3,1.27946,1.35096,2.41544,0.71313,0.6171,0.6872,0.43672,1.26491,1.28547,2.37246,0.00017083,0.00017083,0.00017083
85,36653.2,1.27371,1.34434,2.42308,0.71506,0.61618,0.68797,0.43761,1.26398,1.28302,2.37092,0.00016084,0.00016084,0.00016084
86,37083.1,1.27322,1.34515,2.42588,0.71485,0.61692,0.68931,0.43812,1.26309,1.28063,2.36988,0.00015085,0.00015085,0.00015085
87,37516.4,1.26976,1.33576,2.41015,0.71593,0.61716,0.69002,0.43885,1.26158,1.27844,2.36848,0.00014086,0.00014086,0.00014086
88,37951.7,1.26851,1.33094,2.41216,0.71306,0.62225,0.69131,0.43976,1.26046,1.27628,2.36744,0.00013087,0.00013087,0.00013087
89,38388.6,1.2654,1.32566,2.40876,0.71135,0.62554,0.6924,0.44085,1.25949,1.27306,2.36617,0.00012088,0.00012088,0.00012088
90,38822.7,1.25952,1.31452,2.40433,0.71184,0.62657,0.69342,0.44193,1.25904,1.27033,2.36529,0.00011089,0.00011089,0.00011089
91,39287.2,1.20002,1.20245,2.44997,0.71179,0.62735,0.69399,0.44259,1.25807,1.2677,2.36391,0.0001009,0.0001009,0.0001009
92,39712.4,1.19304,1.18339,2.43314,0.71312,0.62777,0.69463,0.44347,1.25699,1.26478,2.36229,9.091e-05,9.091e-05,9.091e-05
93,40139.4,1.18003,1.16273,2.43218,0.71634,0.62732,0.69599,0.44406,1.25577,1.26226,2.36078,8.092e-05,8.092e-05,8.092e-05
94,40564.9,1.18455,1.15962,2.43374,0.71555,0.62917,0.69728,0.4449,1.25486,1.25978,2.3595,7.093e-05,7.093e-05,7.093e-05
