epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,474.108,1.40393,1.56724,2.51682,0.59064,0.51233,0.52742,0.28775,1.54773,1.86534,2.61051,0.0670179,0.000333152,0.000333152
2,963.093,1.41139,1.58859,2.534,0.56771,0.4938,0.51544,0.2868,1.48851,1.91163,2.56574,0.0340146,0.000663157,0.000663157
3,1471.92,1.43026,1.62694,2.55845,0.62753,0.53962,0.57283,0.32761,1.42765,1.66647,2.48351,0.00100792,0.000989831,0.000989831
4,1998.17,1.43452,1.65465,2.55714,0.62532,0.55006,0.58192,0.3287,1.4454,1.61007,2.47627,0.000985015,0.000985015,0.000985015
5,2495.38,1.44192,1.65906,2.57479,0.62105,0.55081,0.5832,0.33619,1.40748,1.57833,2.52663,0.00098002,0.00098002,0.00098002
6,2989.91,1.43285,1.64923,2.56266,0.63207,0.55421,0.59248,0.33955,1.42625,1.62738,2.49809,0.000975025,0.000975025,0.000975025
7,3473.6,1.44129,1.66219,2.56924,0.62291,0.55652,0.58964,0.34071,1.40626,1.56583,2.47841,0.00097003,0.00097003,0.00097003
8,3967.06,1.43731,1.65512,2.57047,0.64317,0.56476,0.60434,0.35343,1.39869,1.52682,2.49489,0.000965035,0.000965035,0.000965035
9,4462.52,1.43753,1.64199,2.57053,0.63817,0.56359,0.60949,0.35672,1.40526,1.50684,2.50441,0.00096004,0.00096004,0.00096004
10,4951.28,1.43389,1.6451,2.56746,0.63032,0.56661,0.60419,0.35421,1.37628,1.58299,2.47844,0.000955045,0.000955045,0.000955045
11,5442.29,1.43102,1.63332,2.56635,0.64865,0.57111,0.61722,0.36121,1.38579,1.49409,2.46637,0.00095005,0.00095005,0.00095005
12,5938.3,1.43376,1.64115,2.56829,0.65546,0.58126,0.62666,0.37262,1.36222,1.46743,2.4644,0.000945055,0.000945055,0.000945055
13,6428.23,1.42703,1.63373,2.56167,0.65125,0.57843,0.62311,0.37334,1.36573,1.46834,2.46919,0.00094006,0.00094006,0.00094006
14,6919.76,1.42602,1.63343,2.56301,0.66027,0.58824,0.63389,0.38007,1.35233,1.45781,2.46546,0.000935065,0.000935065,0.000935065
15,7407.25,1.42871,1.6304,2.55735,0.65882,0.59388,0.63427,0.38082,1.36431,1.43594,2.45365,0.00093007,0.00093007,0.00093007
16,7897.44,1.42294,1.63028,2.55812,0.66885,0.59102,0.64113,0.38559,1.33885,1.43535,2.4468,0.000925075,0.000925075,0.000925075
17,8385.25,1.41962,1.62921,2.55475,0.66098,0.59445,0.63897,0.38813,1.33823,1.4448,2.43595,0.00092008,0.00092008,0.00092008
18,8872.74,1.42271,1.61929,2.55595,0.66421,0.60248,0.64621,0.39247,1.335,1.43212,2.43741,0.000915085,0.000915085,0.000915085
19,9359.1,1.42109,1.62152,2.55163,0.67273,0.59392,0.6462,0.39189,1.33336,1.41386,2.43996,0.00091009,0.00091009,0.00091009
20,9844.68,1.41866,1.62298,2.55306,0.6696,0.59492,0.64558,0.39509,1.32713,1.395,2.43517,0.000905095,0.000905095,0.000905095
21,10334.7,1.41898,1.61144,2.54704,0.66646,0.6044,0.64894,0.39834,1.32396,1.4001,2.43189,0.0009001,0.0009001,0.0009001
22,10825.3,1.41714,1.6064,2.55751,0.66624,0.60693,0.65127,0.39974,1.32528,1.38393,2.43015,0.000895105,0.000895105,0.000895105
23,11317.7,1.41716,1.60522,2.55381,0.67494,0.59794,0.65173,0.4025,1.31643,1.37558,2.42472,0.00089011,0.00089011,0.00089011
24,11803.2,1.42032,1.60898,2.55911,0.68452,0.59885,0.65727,0.40368,1.31572,1.37862,2.42495,0.000885115,0.000885115,0.000885115
25,12290.9,1.40673,1.59268,2.54723,0.6692,0.61409,0.65893,0.40644,1.30701,1.37402,2.42127,0.00088012,0.00088012,0.00088012
26,12777.3,1.41104,1.59207,2.55417,0.67432,0.60561,0.65827,0.40658,1.29926,1.37106,2.41768,0.000875125,0.000875125,0.000875125
27,13266.7,1.41067,1.60081,2.54947,0.68156,0.60131,0.65884,0.40821,1.29805,1.36688,2.41783,0.00087013,0.00087013,0.00087013
28,13773.2,1.40819,1.60577,2.55493,0.67945,0.60908,0.65965,0.40889,1.29752,1.36481,2.41815,0.000865135,0.000865135,0.000865135
29,14276.2,1.40481,1.60085,2.54611,0.67928,0.60813,0.66112,0.40988,1.29567,1.36384,2.41747,0.00086014,0.00086014,0.00086014
30,14773.8,1.41215,1.59413,2.55278,0.68484,0.60745,0.66157,0.40993,1.29617,1.36204,2.41769,0.000855145,0.000855145,0.000855145
31,15273,1.40193,1.59098,2.53406,0.68921,0.60373,0.66127,0.41115,1.2945,1.36008,2.41692,0.00085015,0.00085015,0.00085015
32,15768.1,1.40203,1.58313,2.53741,0.69013,0.60411,0.66204,0.41215,1.29274,1.35735,2.41406,0.000845155,0.000845155,0.000845155
33,16260.3,1.40316,1.58791,2.53753,0.69013,0.60515,0.66315,0.41339,1.29268,1.35522,2.41202,0.00084016,0.00084016,0.00084016
34,16748.1,1.39829,1.57361,2.5337,0.69217,0.6041,0.66348,0.4139,1.29057,1.35243,2.41012,0.000835165,0.000835165,0.000835165
35,17241.2,1.402,1.58633,2.54385,0.69199,0.60514,0.66317,0.41432,1.28906,1.34977,2.40831,0.00083017,0.00083017,0.00083017
36,17727.8,1.4015,1.58278,2.53752,0.68723,0.60666,0.66428,0.4154,1.28859,1.34812,2.40777,0.000825175,0.000825175,0.000825175
37,18220.6,1.40055,1.58135,2.54301,0.68527,0.60883,0.66453,0.41496,1.28795,1.34539,2.40725,0.00082018,0.00082018,0.00082018
38,18711.8,1.40136,1.57582,2.54116,0.68478,0.60739,0.66502,0.41546,1.288,1.34473,2.40659,0.000815185,0.000815185,0.000815185
39,19198.7,1.39962,1.56729,2.53867,0.68765,0.60706,0.66552,0.41558,1.28668,1.34432,2.40526,0.00081019,0.00081019,0.00081019
40,19686.4,1.3942,1.57037,2.53096,0.68895,0.6069,0.66568,0.41595,1.28602,1.34285,2.40422,0.000805195,0.000805195,0.000805195
41,20171.3,1.39436,1.57406,2.54237,0.6886,0.60994,0.66591,0.41616,1.28576,1.34155,2.40423,0.0008002,0.0008002,0.0008002
42,20659,1.39566,1.56588,2.54573,0.6869,0.60982,0.66581,0.4167,1.28574,1.34073,2.40432,0.000795205,0.000795205,0.000795205
43,21151.6,1.39379,1.56718,2.52824,0.68672,0.6092,0.6659,0.41691,1.28521,1.34,2.40393,0.00079021,0.00079021,0.00079021
44,21636.3,1.38732,1.56792,2.53547,0.687,0.60797,0.6661,0.41755,1.2852,1.33994,2.40311,0.000785215,0.000785215,0.000785215
45,22127.2,1.38829,1.55946,2.5397,0.6889,0.60716,0.66628,0.41773,1.2845,1.33951,2.40248,0.00078022,0.00078022,0.00078022
46,22613,1.39133,1.56217,2.53747,0.69374,0.60599,0.66722,0.41797,1.28418,1.33914,2.40154,0.000775225,0.000775225,0.000775225
47,23099.6,1.38914,1.56249,2.52703,0.69285,0.60637,0.66723,0.41829,1.28313,1.3388,2.4009,0.00077023,0.00077023,0.00077023
48,23589.2,1.39501,1.55909,2.54195,0.68911,0.61164,0.66788,0.41847,1.28195,1.33843,2.39985,0.000765235,0.000765235,0.000765235
49,24080.9,1.39259,1.55809,2.53105,0.69007,0.6107,0.66869,0.41911,1.28151,1.33667,2.39958,0.00076024,0.00076024,0.00076024
50,24565.9,1.38885,1.55789,2.53053,0.69226,0.61022,0.66937,0.41942,1.28111,1.33512,2.39961,0.000755245,0.000755245,0.000755245
51,25050.4,1.38444,1.55296,2.51851,0.69169,0.61232,0.66989,0.4197,1.28028,1.33447,2.39905,0.00075025,0.00075025,0.00075025
52,25535.6,1.37944,1.53846,2.52745,0.69298,0.61319,0.67027,0.41966,1.28004,1.33329,2.39874,0.000745255,0.000745255,0.000745255
53,26031.4,1.38167,1.54407,2.52697,0.69448,0.61043,0.67051,0.42058,1.27941,1.33189,2.39849,0.00074026,0.00074026,0.00074026
54,26526.8,1.38621,1.54788,2.53035,0.69495,0.61023,0.67098,0.42082,1.27896,1.33132,2.39779,0.000735265,0.000735265,0.000735265
55,27017.1,1.38487,1.55434,2.54155,0.6918,0.61194,0.67017,0.42059,1.27844,1.33001,2.39754,0.00073027,0.00073027,0.00073027
56,27506.8,1.38287,1.54893,2.53482,0.69054,0.61372,0.67074,0.4211,1.27815,1.32863,2.39773,0.000725275,0.000725275,0.000725275
57,27998.4,1.38088,1.54249,2.51667,0.69038,0.61334,0.67108,0.42133,1.27785,1.32729,2.39734,0.00072028,0.00072028,0.00072028
58,28487.5,1.37498,1.53392,2.51682,0.68895,0.61444,0.67168,0.42169,1.27787,1.32662,2.39673,0.000715285,0.000715285,0.000715285
59,28972.6,1.38003,1.53331,2.52729,0.68607,0.61723,0.67201,0.42164,1.27714,1.32579,2.39661,0.00071029,0.00071029,0.00071029
60,29462,1.37484,1.52747,2.50986,0.68753,0.61747,0.67268,0.42216,1.27658,1.32484,2.39567,0.000705295,0.000705295,0.000705295
61,29960.4,1.37511,1.52768,2.52111,0.69001,0.61656,0.67257,0.42236,1.27649,1.3238,2.39509,0.0007003,0.0007003,0.0007003
62,30449.5,1.37586,1.5307,2.51652,0.68801,0.61852,0.67301,0.42281,1.27682,1.3223,2.3944,0.000695305,0.000695305,0.000695305
63,30936.5,1.3779,1.52114,2.50991,0.68722,0.62096,0.67368,0.42333,1.27706,1.32107,2.39354,0.00069031,0.00069031,0.00069031
64,31422.5,1.37269,1.52393,2.51344,0.68821,0.62061,0.6744,0.42344,1.27728,1.32087,2.39321,0.000685315,0.000685315,0.000685315
65,31913.1,1.37209,1.52181,2.50907,0.68656,0.62223,0.67416,0.42391,1.277,1.32004,2.39303,0.00068032,0.00068032,0.00068032
66,32396,1.36849,1.51448,2.50906,0.68724,0.62152,0.67428,0.42396,1.27732,1.31953,2.39261,0.000675325,0.000675325,0.000675325
67,32881.9,1.36707,1.51105,2.50875,0.68683,0.62318,0.67423,0.42435,1.27684,1.31787,2.3918,0.00067033,0.00067033,0.00067033
68,33370.5,1.37525,1.52051,2.50335,0.68429,0.62474,0.67429,0.42461,1.27649,1.31689,2.39077,0.000665335,0.000665335,0.000665335
69,33859.9,1.3632,1.52114,2.50534,0.68541,0.62385,0.67515,0.42515,1.27586,1.31614,2.38994,0.00066034,0.00066034,0.00066034
