epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,391.082,1.6879,1.63299,1.58071,0.53141,0.46264,0.46037,0.2188,1.83266,1.71762,1.61942,0.000416318,0.000416318,0.000416318
2,702.701,1.7609,1.74688,1.63877,0.51597,0.4357,0.43353,0.20336,1.87011,1.7639,1.64765,0.000750519,0.000750519,0.000750519
3,1011.41,1.79462,1.80119,1.66815,0.49801,0.43113,0.41467,0.1915,1.88455,1.82061,1.65393,0.00100222,0.00100222,0.00100222
